canonical_name,meme_id,published_revision,created_at,evidence,claims,events,relations,keep
胆子真是肥嘟嘟的,6a3747c1-12fa-4746-ba08-5b66a19c3d3f,2,2026-09-09T13:17:33.869070Z,5,6,4,0,y
胆子真是肥嘟嘟的,a6e87f2b-2503-4082-abd4-e6a2758648f1,1,2026-09-10T09:55:30.591326Z,5,6,4,0,
胆子真是肥嘟嘟的,70ef768d-3603-4340-8d1d-6240884bf764,1,2026-09-10T11:04:15.374565Z,5,6,4,0,
胆子真是肥嘟嘟的,3bc3e737-7562-4a4e-9f44-2bf67b2957b5,1,2026-09-10T11:12:11.203264Z,5,6,4,0,
胆子真是肥嘟嘟的,0b78013a-b72f-4f3d-ab53-a3dc1bbc69dd,1,2026-09-10T11:18:29.127425Z,5,6,4,0,
真人版HIM,0eab4597-a5ea-4b6d-96f8-983358cddfe6,2,2026-09-10T09:55:48.586200Z,3,4,1,1,y
真人版HIM,e855e452-6c66-4b67-94c8-7df6adca464a,1,2026-09-10T11:04:32.463715Z,3,4,1,1,
真人版HIM,5cbe667e-ea98-4ebf-abcd-6871d1e098c1,1,2026-09-10T11:12:30.059747Z,3,4,1,1,
真人版HIM,67808c10-a301-4b2c-8b58-52a8426d0e17,1,2026-09-10T11:18:46.508392Z,3,4,1,1,
狼王撕衣,5fd238b5-7b57-4e93-ba30-d2d3ac2526ff,2,2026-09-09T13:19:53.473081Z,5,7,3,1,y
狼王撕衣,c67fe9b1-30de-4dca-9010-832a48997ff1,1,2026-09-10T09:56:16.968404Z,5,7,3,1,
狼王撕衣,43b84637-37fd-430c-9e6e-4cd859bdae11,1,2026-09-10T11:05:00.702726Z,5,7,3,1,
狼王撕衣,e7212596-fe03-4e0f-8a6d-7601daaf0b11,1,2026-09-10T11:13:02.759635Z,5,7,3,1,
狼王撕衣,a7b3f501-f1d4-4147-b620-6906d7cf01a5,1,2026-09-10T11:19:14.878270Z,5,7,3,1,
老叟戏顽童,2226cd16-c2f1-433e-82f4-a2aa18e4c48b,2,2026-09-09T13:18:17.592217Z,3,4,2,0,y
老叟戏顽童,b46cf9d4-7ec9-4374-883d-fa0c08fb29c4,1,2026-09-10T09:56:34.003484Z,3,4,2,0,
老叟戏顽童,a3ce3c51-a091-43df-a1f6-b5982db063aa,1,2026-09-10T11:05:17.715140Z,3,4,2,0,
老叟戏顽童,8fac0757-dea9-40d9-9c4c-168f6ca3a1a5,1,2026-09-10T11:13:22.214605Z,3,4,2,0,
老叟戏顽童,67def968-c0c9-40c0-8297-360e9bb59427,1,2026-09-10T11:19:31.954471Z,3,4,2,0,
大葱哥,d62caa44-7b8e-428c-b161-75fb3afea8e0,2,2026-09-10T09:56:45.554792Z,2,3,1,0,y
大葱哥,252b25d4-4e2b-43bc-803a-671c134fc4bc,1,2026-09-10T11:05:29.128629Z,2,3,1,0,
大葱哥,c8ff973a-14d9-41f4-93c7-941fb3766ecc,1,2026-09-10T11:13:35.270914Z,2,3,1,0,
大葱哥,f3c12f11-7f75-4ae4-90bc-3ae01f41c8e0,1,2026-09-10T11:19:43.316634Z,2,3,1,0,
才是王道,252e2e7a-14c1-4e6a-ae54-cd7e0b823ea9,2,2026-09-10T09:57:35.937202Z,9,11,8,1,y
泥肘,7ac82264-ab4a-4aa0-b396-1e6b15d6ebf5,2,2026-09-09T13:18:29.935017Z,3,4,2,0,y
泥肘,174db3cc-51b7-4b50-a7e8-2cbb0209a0c5,1,2026-09-10T09:57:48.565838Z,3,4,2,0,
泥肘,7714b96d-fbad-4d9f-a273-a29e5bd86cba,1,2026-09-10T11:05:41.559939Z,3,4,2,0,
泥肘,19659572-6c75-4340-ab4b-0715079b52d7,1,2026-09-10T11:13:48.832965Z,3,4,2,0,
泥肘,f8fa21ae-c01b-454a-aacd-3ddaf79ef35b,1,2026-09-10T11:19:55.799944Z,3,4,2,0,
牛来,dc8fecd0-a0a7-4e99-a51f-2b4e939d2d1f,2,2026-09-09T13:18:37.840731Z,2,3,1,0,y
牛来,59079fde-dd44-4865-a0f1-4385ab3d2b5b,1,2026-09-10T09:57:56.557623Z,2,3,1,0,
牛来,ffd97059-ac38-4b83-b694-74df3f3bf16e,1,2026-09-10T11:05:49.520178Z,2,3,1,0,
牛来,72e15f05-8067-4bca-bcb6-e5485b4807ad,1,2026-09-10T11:13:57.723886Z,2,3,1,0,
牛来,75304932-5220-46fe-9e9d-56ed7ba35ae7,1,2026-09-10T11:20:03.743481Z,2,3,1,0,
松针大油边,c2564080-beef-4ebc-b4ce-d1d6e3899653,2,2026-09-09T13:18:49.042395Z,2,3,1,0,y
松针大油边,d5e8ac81-d356-445b-900b-3beb3579fcf1,1,2026-09-10T09:58:07.884629Z,2,3,1,0,
松针大油边,d73d1b38-3e24-46e9-a62c-2b32575cd5d3,1,2026-09-10T11:06:00.925326Z,2,3,1,0,
松针大油边,d475aec6-cfa5-4429-87f1-1548716d1486,1,2026-09-10T11:14:10.176056Z,2,3,1,0,
松针大油边,566c3d95-0d32-4f83-b6e0-885676897bf5,1,2026-09-10T11:20:15.217589Z,2,3,1,0,
闹吃VS古振兴,e248b62d-8d35-4251-9cf4-6ee39c449385,2,2026-09-10T11:06:56.331209Z,10,5,1,8,y
闹吃VS古振兴,ee9f52ed-ba55-4739-bed1-8bad5532cef7,1,2026-09-10T11:15:10.929671Z,10,5,1,8,
闹吃VS古振兴,f61ea80a-230b-4c35-96f1-2f6b342acb6f,1,2026-09-10T11:21:10.670781Z,10,5,1,8,
