bv_id,seen_at,resolved,title,uploader,upload_date,duration
BV1NsKQ6zEwG,10.0,True,【babyblue】阿辙爆了！直接一句你会玩霓虹吗希咩咩？！赛后承认自己不过脑不该打的时候压力队友了！但为了赢这个事必须说出来！,anno大笨蛋,20260629,439.345
BV1NsKQ6zEWG,12.0,False,,,,
BV17iTY6VE1B,55.0,True,众人把阿辙拉进房间，集体质问你会玩火男吗？没别的意思，我就是想问你玩得舒不舒服！,不会枪的lansir,20260701,83.0
BV15pT166Eks,75.0,True,【阿梓】你会玩暮蝶吗yxh！我的意思是你玩的舒服吗？,TDD-珈蓝梦,20260705,147.377
BV1pUKD6PEZ7,80.0,True,辙哥开源“你会XX吗” 赛后复盘莲哥看悠一拆包失误“你会拆包吗”,樱花树下的莲华古城,20260629,78.274
BV1oWMH6yE9s,86.0,True,【纸飞机】太刺激了！！BLG10比2开局居然被DRG强势逆转翻盘！,纸飞机的机头,20260709,2009.737
BV1b4NL6BEgD,86.0,True,【纸飞机】压力切片man 你会做切片吗？,纸飞机的机头,20260710,52.268
BV1QgT26qEuT,98.0,True,正在泄露比赛号密码【师徒杯S3/大香蕉】,热水器Official,20260705,329.266
BV1cNNb6cE1G,101.0,True,【纸飞机/娇ker】丰哥汀汀汀互爆糗事！众人群嘲:你就把我当B站一同事呗！,纸飞机的机头,20260714,123.274
BV1RpjU6zEvy,104.0,True,【大东彦】老孔明师徒杯飞了！就差15票！本来还想看他给自己数星星的,anno大笨蛋,20260623,39.666
BV1FPKG6DEKK,109.0,True,多视角看希咩咩一滴血残局1v2！为队伍强行续命！往里浩 vs 娇ker,anno大笨蛋,20260716,57.933
BV1ttKG6PEHi,113.0,True,师徒杯决赛两张图打完，yuko已经抽完一包烟了！队员们惊呆了！yu大姐：卧槽我在思考！,anno大笨蛋,20260716,68.986
BV1k3JA6cE7r,118.0,True,你好我是忧郁的千神【我要打师徒杯】,千郁郁sen,20260614,99.946
