bv_id,seen_at,resolved,title,uploader,upload_date,duration
BV1RuMC6eE8s,8.0,True,你支持谁？,哇伊老爷,20260805,10.111
BV13jgd6KEnV,23.0,True,古振兴和闹次扭腰,CDFSKY,20260726,18.181
BV1uM3G61EyC,34.0,False,,,,
BV1uM3G61Eyc,35.0,True,当年迷你下架的真相,Enderguarder-安德,20260726,28.8
BV1zRbf6rE2J,46.0,True,每一个一战老兵都应该听的一首歌。,Enderguarder-安德,20260820,207.005
BV1esbf6wEkc,51.0,True,闹吃vs古振兴完整版rap,91教教皇,20260820,143.233
BViesbf6wEkc,55.0,False,,,,
BV1XV41177FJ,74.0,True,FNF优质mod VS Garcello,Bot25,20210504,554.201
BV1Cq4y1j7a2,76.0,True,FNF超优质mod VS Tricky 2.0四阶段通关,Bot25,20210603,1020.053
BV1vQ4y1h7ZB,78.0,True,[中文字幕] FNF超优质模组 Vs Imposter V3 全流程,Agent_Dave,20210828,1221.322
BV1HH4y1V7dA,80.0,True,【FNF】神曲！Hit Single新曲Silly Billy演示,zone142,20240429,368.937
BV1xZ8u6JEiw,91.0,True,像笨蛋一样的硬核才是王道,金木菌hhh,20260818,32.902
BV1xz8u6JEiw,94.0,False,,,,
BV1wE8z6bEqR,98.0,True,像素方块的硬核才是王道🍑,凉255,20260821,56.842
BV1kYbD69E6x,102.0,True,你那卡通画风根本没技巧,伍脚猫,20260816,10.16
BV1KW8F6QETE,112.0,True,妙趣横生的音乐才是王道,五觉古明地,20260820,10.147
BV1Gi8q6uEUR,122.0,True,尼古丁真VS芙蓉王源，你支持谁？,NAIDERMAN,20260821,10.176
BV1P48167EGZ,132.0,True,【金坷垃】⚡非洲农业的发达才是王道⚡,蓝焰TheBlueFire,20260822,51.417
BV1Qi8x6BE5X,142.0,True,法棍才是王道,我不叫莫闹,20260823,10.266
BV1MLhK6LEyY,152.0,True,⚡️闹 吃 不 要 相 信 古 振 兴 的 话⚡️,浪迹天涯的小光,20260825,67.546
BV1a4uA69E8Q,177.0,True,Him是无敌的,Li-Yu2,20260804,23.694
BV16Tuy6UEj1,216.0,True,11年前的我，突然在中国火了,I_Am_Him,20260812,507.217
