episode_id,meme_name,bv_id,upload_date,title,role,notes
BV13ptA6AEAW,大葱哥,BV1B08M6wENe,,,,删除或下架
BV13ptA6AEAW,大葱哥,BV1Bo8M6wENe,,,,删除或下架
BV1xWtJ6iEGs,松针大油边,BV1Yj4Q6qECR,20260830,生烤黄蚬子，______（3分）软糯烤地瓜，______（5分）,derivative,
BV1G6tm6bEBT,狼王撕衣,BV1Tv411v7Ge,20210211,【1080P60】Animals中英双字幕 魔力红Animals收藏级画质 Maroon 5-Animals,source,
BV1G6tm6bEBT,狼王撕衣,BV1i4uz68EVz,20260811,嗷呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜,derivative,
BV1G6tm6bEBT,狼王撕衣,BV1NYg56VE5y,20260812,岛田狼氏,derivative,
BV1G6tm6bEBT,狼王撕衣,BV151gg6UEMA,2026/8/15,嗷呜！嗷呜！嗷呜！嗷呜！嗷呜！嗷呜！！！,derivative,
BV1vQ8i6uEYf,老叟戏顽童,BV1JguG64Ei8,20260808,这分明是老叟戏顽童,derivative,
BV1vQ8i6uEYf,泥肘,BV1TiuZ6TEQw,20260810,⚡泥 肘⚡,derivative,
BV1vQ8i6uEYf,老叟戏顽童&泥肘,BV1vngn61Eph,20260813,👈😭泥肘！这分明就是老叟戏顽童,derivative,
BV1a9816ZER9,胆子真是肥嘟嘟的,BV1kfKp6XEZC,20260721,十年榜首无人知，清者自清万人识,irrelevant,
BV1a9816ZER9,胆子真是肥嘟嘟的,BV1vz8u6aEQA,20260818,小刻胆子真是肥嘟嘟啊敢偷吃博士外卖😡🐕,derivative,
BV1a9816ZER9,胆子真是肥嘟嘟的,BV1bL8p6xEfr,20260819,地球联邦你胆子真是肥嘟嘟的,derivative,
BV1a9816ZER9,胆子真是肥嘟嘟的,BV1un8w6aETa,20260820,你的胆子直是肥嘟嘟的,derivative,
BV1a9816ZER9,胆子真是肥嘟嘟的&牛来,BV1n28K6cEqg,20260821,黄色兄弟三人行,derivative,画面同时涉及奶龙，但档案内无任何解释该梗的来源，证据不足，暂不建档
